4096,2097.152,0.256,1048.576,4120
4096,16384,2,8192,13176
4096,40960,5,20480,16464
4096,49152,6,24576,19756
16384,2097.152,0.256,4194.304,7416
16384,7372.8,0.9,14745.6,14480
16384,8192,1,16384,16480
16384,16384,2,32768,26352
32768,1024,0.125,4096,7416
32768,2097.152,0.256,8388.608,10712
32768,3194.88,0.39,12779.52,14168
32768,3686.4,0.45,14745.6,14840
32768,4096,0.5,16384,14832
32768,8192,1,32768,23072
65536,1024,0.125,8192,10712
65536,2097.152,0.256,16777.216,14832
65536,4096,0.5,32768,21424
65536,98304,96,0,13631520
131072,512,0.0625,8192,10608
131072,1024,0.125,16384,14832
131072,2048,0.25,32768,21424
262144,1,0.0001220703125,32,680
1048576,1,0.0001220703125,128,1364
2097152,128,0.015625,32768,20904
4718592,1,0.0001220703125,576,964
4194304,1,0.0001220703125,512,2728
4194304,64,0.0078125,32768,21672
4194304,128,0.015625,65536,29536
4194304,256,0.03125,131072,122640
67108864,1,0.0001220703125,8192,10920
67108864,128,0.015625,1048576,122640
67108864,256,0.03125,2097152,173488
134217728,1,0.0001220703125,16384,15444
268435456,1,0.0001220703125,32768,21844
8589934592,1,0.0001220703125,1048576,120
